Codigo;Periodo;Nome;Afluencia;Retirada
4;27; CAPIM BRANC1 ;2;0.6
4;28; CAPIM BRANC2 ;5;1.5
4;29; CORUMBA IV   ;127;3.1
4;30; CORUMBA I    ;299;5.8
4;31; ITUMBIARA    ;392;13.6
4;32; CACH.DOURADA ;69;1.6
4;33; SAO SIMAO    ;1153;26
4;34; I. SOLTEIRA  ;369;4.1
4;37; BARRA BONITA ;281;55.3
4;38; A.S. LIMA    ;76;7.9
4;39; IBITINGA     ;146;5.5
4;40; PROMISSAO    ;53;3.7
4;42; NAVANHANDAVA ;21;4.4
4;43; TRES IRMAOS  ;24;4.4
4;45; JUPIA        ;383;1.8
4;46; P. PRIMAVERA ;660;17.8
4;47; A.A. LAYDNER ;100;6.9
4;48; PIRAJU       ;2;0.1
5;1; CAMARGOS     ;101;0.6
5;2; ITUTINGA     ;0;0
5;4; FUNIL-GRANDE ;178;3.8
5;6; FURNAS       ;518;11
5;7; M. DE MORAES ;188;1.1
5;8; ESTREITO     ;43;0.2
5;9; JAGUARA      ;18;0.2
5;10; IGARAPAVA    ;51;0.3
5;11; VOLTA GRANDE ;115;2.4
5;12; P. COLOMBIA  ;279;9.4
5;14; CACONDE      ;45;1.2
5;15; E. DA CUNHA  ;28;2.1
5;16; A.S.OLIVEIRA ;1;0.1
5;17; MARIMBONDO   ;575;55.7
5;18; A. VERMELHA  ;305;9.8
5;20; BATALHA      ;197;4.6
5;21; SERRA FACAO  ;123;0.9
5;24; EMBORCACAO   ;421;13.1
5;25; NOVA PONTE   ;410;2.2
5;26; MIRANDA      ;17;1.5
5;27; CAPIM BRANC1 ;2;0.6
5;28; CAPIM BRANC2 ;5;1.5
5;29; CORUMBA IV   ;127;3.1
5;30; CORUMBA I    ;299;5.8
5;31; ITUMBIARA    ;392;13.6
5;32; CACH.DOURADA ;69;1.6
5;33; SAO SIMAO    ;1153;26
5;34; I. SOLTEIRA  ;369;4.1
5;37; BARRA BONITA ;281;55.3
5;38; A.S. LIMA    ;76;7.9
5;39; IBITINGA     ;146;5.5
5;40; PROMISSAO    ;53;3.7
5;42; NAVANHANDAVA ;21;4.4
5;43; TRES IRMAOS  ;24;4.4
5;45; JUPIA        ;383;1.8
5;46; P. PRIMAVERA ;660;17.8
5;47; A.A. LAYDNER ;100;6.9
5;48; PIRAJU       ;2;0.1
6;1; CAMARGOS     ;101;0.6
6;2; ITUTINGA     ;0;0
6;4; FUNIL-GRANDE ;178;3.8
6;6; FURNAS       ;518;11
6;7; M. DE MORAES ;188;1.1
6;8; ESTREITO     ;43;0.2
6;9; JAGUARA      ;18;0.2
6;10; IGARAPAVA    ;51;0.3
6;11; VOLTA GRANDE ;115;2.4
6;12; P. COLOMBIA  ;279;9.4
6;14; CACONDE      ;45;1.2
6;15; E. DA CUNHA  ;28;2.1
6;16; A.S.OLIVEIRA ;1;0.1
6;17; MARIMBONDO   ;575;55.7
6;18; A. VERMELHA  ;305;9.8
6;20; BATALHA      ;197;4.6
6;21; SERRA FACAO  ;123;0.9
6;24; EMBORCACAO   ;421;13.1
6;25; NOVA PONTE   ;410;2.2
6;26; MIRANDA      ;17;1.5
6;27; CAPIM BRANC1 ;2;0.6
6;28; CAPIM BRANC2 ;5;1.5
6;29; CORUMBA IV   ;127;3.1
6;30; CORUMBA I    ;299;5.8
6;31; ITUMBIARA    ;392;13.6
6;32; CACH.DOURADA ;69;1.6
6;33; SAO SIMAO    ;1153;26
6;34; I. SOLTEIRA  ;369;4.1
6;37; BARRA BONITA ;281;55.3
6;38; A.S. LIMA    ;76;7.9
6;39; IBITINGA     ;146;5.5
6;40; PROMISSAO    ;53;3.7
6;42; NAVANHANDAVA ;21;4.4
6;43; TRES IRMAOS  ;24;4.4
6;45; JUPIA        ;383;1.8
6;46; P. PRIMAVERA ;660;17.8
6;47; A.A. LAYDNER ;100;6.9
6;48; PIRAJU       ;2;0.1
7;1; CAMARGOS     ;101;0.6
7;2; ITUTINGA     ;0;0
7;4; FUNIL-GRANDE ;178;3.8
7;6; FURNAS       ;518;11
7;7; M. DE MORAES ;188;1.1
7;8; ESTREITO     ;43;0.2
7;9; JAGUARA      ;18;0.2
7;10; IGARAPAVA    ;51;0.3
7;11; VOLTA GRANDE ;115;2.4
7;12; P. COLOMBIA  ;279;9.4
7;14; CACONDE      ;45;1.2
7;15; E. DA CUNHA  ;28;2.1
7;16; A.S.OLIVEIRA ;1;0.1
7;17; MARIMBONDO   ;575;55.7
7;18; A. VERMELHA  ;305;9.8
7;20; BATALHA      ;197;4.6
7;21; SERRA FACAO  ;123;0.9
7;24; EMBORCACAO   ;421;13.1
7;25; NOVA PONTE   ;410;2.2
7;26; MIRANDA      ;17;1.5
7;27; CAPIM BRANC1 ;2;0.6
7;28; CAPIM BRANC2 ;5;1.5
7;29; CORUMBA IV   ;127;3.1
7;30; CORUMBA I    ;299;5.8
7;31; ITUMBIARA    ;392;13.6
7;32; CACH.DOURADA ;69;1.6
7;33; SAO SIMAO    ;1153;26
7;34; I. SOLTEIRA  ;369;4.1
7;37; BARRA BONITA ;281;55.3
7;38; A.S. LIMA    ;76;7.9
7;39; IBITINGA     ;146;5.5
7;40; PROMISSAO    ;53;3.7
7;42; NAVANHANDAVA ;21;4.4
7;43; TRES IRMAOS  ;24;4.4
7;45; JUPIA        ;383;1.8
7;46; P. PRIMAVERA ;660;17.8
7;47; A.A. LAYDNER ;100;6.9
7;48; PIRAJU       ;2;0.1
8;1; CAMARGOS     ;101;0.6
8;2; ITUTINGA     ;0;0
8;4; FUNIL-GRANDE ;178;3.8
8;6; FURNAS       ;518;11
8;7; M. DE MORAES ;188;1.1
8;8; ESTREITO     ;43;0.2
8;9; JAGUARA      ;18;0.2
8;10; IGARAPAVA    ;51;0.3
8;11; VOLTA GRANDE ;115;2.4
8;12; P. COLOMBIA  ;279;9.4
8;14; CACONDE      ;45;1.2
8;15; E. DA CUNHA  ;28;2.1
8;16; A.S.OLIVEIRA ;1;0.1
8;17; MARIMBONDO   ;575;55.7
8;18; A. VERMELHA  ;305;9.8
8;20; BATALHA      ;197;4.6
8;21; SERRA FACAO  ;123;0.9
8;24; EMBORCACAO   ;421;13.1
8;25; NOVA PONTE   ;410;2.2
8;26; MIRANDA      ;17;1.5
8;27; CAPIM BRANC1 ;2;0.6
8;28; CAPIM BRANC2 ;5;1.5
8;29; CORUMBA IV   ;127;3.1
8;30; CORUMBA I    ;299;5.8
8;31; ITUMBIARA    ;392;13.6
8;32; CACH.DOURADA ;69;1.6
8;33; SAO SIMAO    ;1153;26
8;34; I. SOLTEIRA  ;369;4.1
8;37; BARRA BONITA ;281;55.3
8;38; A.S. LIMA    ;76;7.9
8;39; IBITINGA     ;146;5.5
8;40; PROMISSAO    ;53;3.7
8;42; NAVANHANDAVA ;21;4.4
8;43; TRES IRMAOS  ;24;4.4
8;45; JUPIA        ;383;1.8
8;46; P. PRIMAVERA ;660;17.8
8;47; A.A. LAYDNER ;100;6.9
8;48; PIRAJU       ;2;0.1
9;1; CAMARGOS     ;101;0.6
9;2; ITUTINGA     ;0;0
9;4; FUNIL-GRANDE ;178;3.8
9;6; FURNAS       ;518;11
9;7; M. DE MORAES ;188;1.1
9;8; ESTREITO     ;43;0.2
9;9; JAGUARA      ;18;0.2
9;10; IGARAPAVA    ;51;0.3
9;11; VOLTA GRANDE ;115;2.4
9;12; P. COLOMBIA  ;279;9.4
9;14; CACONDE      ;45;1.2
9;15; E. DA CUNHA  ;28;2.1
9;16; A.S.OLIVEIRA ;1;0.1
9;17; MARIMBONDO   ;575;55.7
9;18; A. VERMELHA  ;305;9.8
9;20; BATALHA      ;197;4.6
9;21; SERRA FACAO  ;123;0.9
9;24; EMBORCACAO   ;421;13.1
9;25; NOVA PONTE   ;410;2.2
9;26; MIRANDA      ;17;1.5
9;27; CAPIM BRANC1 ;2;0.6
9;28; CAPIM BRANC2 ;5;1.5
9;29; CORUMBA IV   ;127;3.1
9;30; CORUMBA I    ;299;5.8
9;31; ITUMBIARA    ;392;13.6
9;32; CACH.DOURADA ;69;1.6
9;33; SAO SIMAO    ;1153;26
9;34; I. SOLTEIRA  ;369;4.1
9;37; BARRA BONITA ;281;55.3
9;38; A.S. LIMA    ;76;7.9
9;39; IBITINGA     ;146;5.5
9;40; PROMISSAO    ;53;3.7
9;42; NAVANHANDAVA ;21;4.4
9;43; TRES IRMAOS  ;24;4.4
9;45; JUPIA        ;383;1.8
9;46; P. PRIMAVERA ;660;17.8
9;47; A.A. LAYDNER ;100;6.9
9;48; PIRAJU       ;2;0.1
10;1; CAMARGOS     ;101;0.6
10;2; ITUTINGA     ;0;0
10;4; FUNIL-GRANDE ;178;3.8
10;6; FURNAS       ;518;11
10;7; M. DE MORAES ;188;1.1
10;8; ESTREITO     ;43;0.2
10;9; JAGUARA      ;18;0.2
10;10; IGARAPAVA    ;51;0.3
10;11; VOLTA GRANDE ;115;2.4
10;12; P. COLOMBIA  ;279;9.4
10;14; CACONDE      ;45;1.2
10;15; E. DA CUNHA  ;28;2.1
10;16; A.S.OLIVEIRA ;1;0.1
10;17; MARIMBONDO   ;575;55.7
10;18; A. VERMELHA  ;305;9.8
10;20; BATALHA      ;197;4.6
10;21; SERRA FACAO  ;123;0.9
10;24; EMBORCACAO   ;421;13.1
10;25; NOVA PONTE   ;410;2.2
10;26; MIRANDA      ;17;1.5
10;27; CAPIM BRANC1 ;2;0.6
10;28; CAPIM BRANC2 ;5;1.5
10;29; CORUMBA IV   ;127;3.1
10;30; CORUMBA I    ;299;5.8
10;31; ITUMBIARA    ;392;13.6
10;32; CACH.DOURADA ;69;1.6
10;33; SAO SIMAO    ;1153;26
10;34; I. SOLTEIRA  ;369;4.1
10;37; BARRA BONITA ;281;55.3
10;38; A.S. LIMA    ;76;7.9
10;39; IBITINGA     ;146;5.5
10;40; PROMISSAO    ;53;3.7
10;42; NAVANHANDAVA ;21;4.4
10;43; TRES IRMAOS  ;24;4.4
10;45; JUPIA        ;383;1.8
10;46; P. PRIMAVERA ;660;17.8
10;47; A.A. LAYDNER ;100;6.9
10;48; PIRAJU       ;2;0.1
11;1; CAMARGOS     ;101;0.6
11;2; ITUTINGA     ;0;0
11;4; FUNIL-GRANDE ;178;3.8
11;6; FURNAS       ;518;11
11;7; M. DE MORAES ;188;1.1
11;8; ESTREITO     ;43;0.2
11;9; JAGUARA      ;18;0.2
11;10; IGARAPAVA    ;51;0.3
11;11; VOLTA GRANDE ;115;2.4
11;12; P. COLOMBIA  ;279;9.4
11;14; CACONDE      ;45;1.2
11;15; E. DA CUNHA  ;28;2.1
11;16; A.S.OLIVEIRA ;1;0.1
11;17; MARIMBONDO   ;575;55.7
11;18; A. VERMELHA  ;305;9.8
11;20; BATALHA      ;197;4.6
11;21; SERRA FACAO  ;123;0.9
11;24; EMBORCACAO   ;421;13.1
11;25; NOVA PONTE   ;410;2.2
11;26; MIRANDA      ;17;1.5
11;27; CAPIM BRANC1 ;2;0.6
11;28; CAPIM BRANC2 ;5;1.5
11;29; CORUMBA IV   ;127;3.1
11;30; CORUMBA I    ;299;5.8
11;31; ITUMBIARA    ;392;13.6
11;32; CACH.DOURADA ;69;1.6
11;33; SAO SIMAO    ;1153;26
11;34; I. SOLTEIRA  ;369;4.1
11;37; BARRA BONITA ;281;55.3
11;38; A.S. LIMA    ;76;7.9
11;39; IBITINGA     ;146;5.5
11;40; PROMISSAO    ;53;3.7
11;42; NAVANHANDAVA ;21;4.4
11;43; TRES IRMAOS  ;24;4.4
11;45; JUPIA        ;383;1.8
11;46; P. PRIMAVERA ;660;17.8
11;47; A.A. LAYDNER ;100;6.9
11;48; PIRAJU       ;2;0.1
12;1; CAMARGOS     ;101;0.6
12;2; ITUTINGA     ;0;0
12;4; FUNIL-GRANDE ;178;3.8
12;6; FURNAS       ;518;11
12;7; M. DE MORAES ;188;1.1
12;8; ESTREITO     ;43;0.2
12;9; JAGUARA      ;18;0.2
12;10; IGARAPAVA    ;51;0.3
12;11; VOLTA GRANDE ;115;2.4
12;12; P. COLOMBIA  ;279;9.4
12;14; CACONDE      ;45;1.2
12;15; E. DA CUNHA  ;28;2.1
12;16; A.S.OLIVEIRA ;1;0.1
12;17; MARIMBONDO   ;575;55.7
12;18; A. VERMELHA  ;305;9.8
12;20; BATALHA      ;197;4.6
12;21; SERRA FACAO  ;123;0.9
12;24; EMBORCACAO   ;421;13.1
12;25; NOVA PONTE   ;410;2.2
12;26; MIRANDA      ;17;1.5
12;27; CAPIM BRANC1 ;2;0.6
12;28; CAPIM BRANC2 ;5;1.5
12;29; CORUMBA IV   ;127;3.1
12;30; CORUMBA I    ;299;5.8
12;31; ITUMBIARA    ;392;13.6
12;32; CACH.DOURADA ;69;1.6
12;33; SAO SIMAO    ;1153;26
12;34; I. SOLTEIRA  ;369;4.1
12;37; BARRA BONITA ;281;55.3
12;38; A.S. LIMA    ;76;7.9
12;39; IBITINGA     ;146;5.5
12;40; PROMISSAO    ;53;3.7
12;42; NAVANHANDAVA ;21;4.4
12;43; TRES IRMAOS  ;24;4.4
12;45; JUPIA        ;383;1.8
12;46; P. PRIMAVERA ;660;17.8
12;47; A.A. LAYDNER ;100;6.9
12;48; PIRAJU       ;2;0.1
13;1; CAMARGOS     ;101;0.6
13;2; ITUTINGA     ;0;0
13;4; FUNIL-GRANDE ;178;3.8
13;6; FURNAS       ;518;11
13;7; M. DE MORAES ;188;1.1
13;8; ESTREITO     ;43;0.2
13;9; JAGUARA      ;18;0.2
13;10; IGARAPAVA    ;51;0.3
13;11; VOLTA GRANDE ;115;2.4
13;12; P. COLOMBIA  ;279;9.4
13;14; CACONDE      ;45;1.2
13;15; E. DA CUNHA  ;28;2.1
13;16; A.S.OLIVEIRA ;1;0.1
13;17; MARIMBONDO   ;575;55.7
13;18; A. VERMELHA  ;305;9.8
13;20; BATALHA      ;197;4.6
13;21; SERRA FACAO  ;123;0.9
13;24; EMBORCACAO   ;421;13.1
13;25; NOVA PONTE   ;410;2.2
13;26; MIRANDA      ;17;1.5
13;27; CAPIM BRANC1 ;2;0.6
13;28; CAPIM BRANC2 ;5;1.5
13;29; CORUMBA IV   ;127;3.1
13;30; CORUMBA I    ;299;5.8
13;31; ITUMBIARA    ;392;13.6
13;32; CACH.DOURADA ;69;1.6
13;33; SAO SIMAO    ;1153;26
13;34; I. SOLTEIRA  ;369;4.1
13;37; BARRA BONITA ;281;55.3
13;38; A.S. LIMA    ;76;7.9
13;39; IBITINGA     ;146;5.5
13;40; PROMISSAO    ;53;3.7
13;42; NAVANHANDAVA ;21;4.4
13;43; TRES IRMAOS  ;24;4.4
13;45; JUPIA        ;383;1.8
13;46; P. PRIMAVERA ;660;17.8
13;47; A.A. LAYDNER ;100;6.9
13;48; PIRAJU       ;2;0.1
14;1; CAMARGOS     ;101;0.6
14;2; ITUTINGA     ;0;0
14;4; FUNIL-GRANDE ;178;3.8
14;6; FURNAS       ;518;11
14;7; M. DE MORAES ;188;1.1
14;8; ESTREITO     ;43;0.2
14;9; JAGUARA      ;18;0.2
14;10; IGARAPAVA    ;51;0.3
14;11; VOLTA GRANDE ;115;2.4
14;12; P. COLOMBIA  ;279;9.4
14;14; CACONDE      ;45;1.2
14;15; E. DA CUNHA  ;28;2.1
14;16; A.S.OLIVEIRA ;1;0.1
14;17; MARIMBONDO   ;575;55.7
14;18; A. VERMELHA  ;305;9.8
14;20; BATALHA      ;197;4.6
14;21; SERRA FACAO  ;123;0.9
14;24; EMBORCACAO   ;421;13.1
14;25; NOVA PONTE   ;410;2.2
14;26; MIRANDA      ;17;1.5
14;27; CAPIM BRANC1 ;2;0.6
14;28; CAPIM BRANC2 ;5;1.5
14;29; CORUMBA IV   ;127;3.1
14;30; CORUMBA I    ;299;5.8
14;31; ITUMBIARA    ;392;13.6
14;32; CACH.DOURADA ;69;1.6
14;33; SAO SIMAO    ;1153;26
14;34; I. SOLTEIRA  ;369;4.1
14;37; BARRA BONITA ;281;55.3
14;38; A.S. LIMA    ;76;7.9
14;39; IBITINGA     ;146;5.5
14;40; PROMISSAO    ;53;3.7
14;42; NAVANHANDAVA ;21;4.4
14;43; TRES IRMAOS  ;24;4.4
14;45; JUPIA        ;383;1.8
14;46; P. PRIMAVERA ;660;17.8
14;47; A.A. LAYDNER ;100;6.9
14;48; PIRAJU       ;2;0.1
15;1; CAMARGOS     ;101;0.6
15;2; ITUTINGA     ;0;0
15;4; FUNIL-GRANDE ;178;3.8
15;6; FURNAS       ;518;11
15;7; M. DE MORAES ;188;1.1
15;8; ESTREITO     ;43;0.2
15;9; JAGUARA      ;18;0.2
15;10; IGARAPAVA    ;51;0.3
15;11; VOLTA GRANDE ;115;2.4
15;12; P. COLOMBIA  ;279;9.4
15;14; CACONDE      ;45;1.2
15;15; E. DA CUNHA  ;28;2.1
15;16; A.S.OLIVEIRA ;1;0.1
15;17; MARIMBONDO   ;575;55.7
15;18; A. VERMELHA  ;305;9.8
15;20; BATALHA      ;197;4.6
15;21; SERRA FACAO  ;123;0.9
15;24; EMBORCACAO   ;421;13.1
15;25; NOVA PONTE   ;410;2.2
15;26; MIRANDA      ;17;1.5
15;27; CAPIM BRANC1 ;2;0.6
15;28; CAPIM BRANC2 ;5;1.5
15;29; CORUMBA IV   ;127;3.1
15;30; CORUMBA I    ;299;5.8
15;31; ITUMBIARA    ;392;13.6
15;32; CACH.DOURADA ;69;1.6
15;33; SAO SIMAO    ;1153;26
15;34; I. SOLTEIRA  ;369;4.1
15;37; BARRA BONITA ;281;55.3
15;38; A.S. LIMA    ;76;7.9
15;39; IBITINGA     ;146;5.5
15;40; PROMISSAO    ;53;3.7
15;42; NAVANHANDAVA ;21;4.4
15;43; TRES IRMAOS  ;24;4.4
15;45; JUPIA        ;383;1.8
15;46; P. PRIMAVERA ;660;17.8
15;47; A.A. LAYDNER ;100;6.9
15;48; PIRAJU       ;2;0.1
16;1; CAMARGOS     ;101;0.6
16;2; ITUTINGA     ;0;0
16;4; FUNIL-GRANDE ;178;3.8
16;6; FURNAS       ;518;11
16;7; M. DE MORAES ;188;1.1
16;8; ESTREITO     ;43;0.2
16;9; JAGUARA      ;18;0.2
16;10; IGARAPAVA    ;51;0.3
16;11; VOLTA GRANDE ;115;2.4
16;12; P. COLOMBIA  ;279;9.4
16;14; CACONDE      ;45;1.2
16;15; E. DA CUNHA  ;28;2.1
16;16; A.S.OLIVEIRA ;1;0.1
16;17; MARIMBONDO   ;575;55.7
16;18; A. VERMELHA  ;305;9.8
16;20; BATALHA      ;197;4.6
16;21; SERRA FACAO  ;123;0.9
16;24; EMBORCACAO   ;421;13.1
16;25; NOVA PONTE   ;410;2.2
16;26; MIRANDA      ;17;1.5
16;27; CAPIM BRANC1 ;2;0.6
16;28; CAPIM BRANC2 ;5;1.5
16;29; CORUMBA IV   ;127;3.1
16;30; CORUMBA I    ;299;5.8
16;31; ITUMBIARA    ;392;13.6
16;32; CACH.DOURADA ;69;1.6
16;33; SAO SIMAO    ;1153;26
16;34; I. SOLTEIRA  ;369;4.1
16;37; BARRA BONITA ;281;55.3
16;38; A.S. LIMA    ;76;7.9
16;39; IBITINGA     ;146;5.5
16;40; PROMISSAO    ;53;3.7
16;42; NAVANHANDAVA ;21;4.4
16;43; TRES IRMAOS  ;24;4.4
16;45; JUPIA        ;383;1.8
16;46; P. PRIMAVERA ;660;17.8
16;47; A.A. LAYDNER ;100;6.9
16;48; PIRAJU       ;2;0.1
17;1; CAMARGOS     ;101;0.6
17;2; ITUTINGA     ;0;0
17;4; FUNIL-GRANDE ;178;3.8
17;6; FURNAS       ;518;11
17;7; M. DE MORAES ;188;1.1
17;8; ESTREITO     ;43;0.2
17;9; JAGUARA      ;18;0.2
17;10; IGARAPAVA    ;51;0.3
17;11; VOLTA GRANDE ;115;2.4
17;12; P. COLOMBIA  ;279;9.4
17;14; CACONDE      ;45;1.2
17;15; E. DA CUNHA  ;28;2.1
17;16; A.S.OLIVEIRA ;1;0.1
17;17; MARIMBONDO   ;575;55.7
17;18; A. VERMELHA  ;305;9.8
17;20; BATALHA      ;197;4.6
17;21; SERRA FACAO  ;123;0.9
17;24; EMBORCACAO   ;421;13.1
17;25; NOVA PONTE   ;410;2.2
17;26; MIRANDA      ;17;1.5
17;27; CAPIM BRANC1 ;2;0.6
17;28; CAPIM BRANC2 ;5;1.5
17;29; CORUMBA IV   ;127;3.1
17;30; CORUMBA I    ;299;5.8
17;31; ITUMBIARA    ;392;13.6
17;32; CACH.DOURADA ;69;1.6
17;33; SAO SIMAO    ;1153;26
17;34; I. SOLTEIRA  ;369;4.1
17;37; BARRA BONITA ;281;55.3
17;38; A.S. LIMA    ;76;7.9
17;39; IBITINGA     ;146;5.5
17;40; PROMISSAO    ;53;3.7
17;42; NAVANHANDAVA ;21;4.4
17;43; TRES IRMAOS  ;24;4.4
17;45; JUPIA        ;383;1.8
17;46; P. PRIMAVERA ;660;17.8
17;47; A.A. LAYDNER ;100;6.9
17;48; PIRAJU       ;2;0.1
18;1; CAMARGOS     ;101;0.6
18;2; ITUTINGA     ;0;0
18;4; FUNIL-GRANDE ;178;3.8
18;6; FURNAS       ;518;11
18;7; M. DE MORAES ;188;1.1
18;8; ESTREITO     ;43;0.2
18;9; JAGUARA      ;18;0.2
18;10; IGARAPAVA    ;51;0.3
18;11; VOLTA GRANDE ;115;2.4
18;12; P. COLOMBIA  ;279;9.4
18;14; CACONDE      ;45;1.2
18;15; E. DA CUNHA  ;28;2.1
18;16; A.S.OLIVEIRA ;1;0.1
18;17; MARIMBONDO   ;575;55.7
18;18; A. VERMELHA  ;305;9.8
18;20; BATALHA      ;197;4.6
18;21; SERRA FACAO  ;123;0.9
18;24; EMBORCACAO   ;421;13.1
18;25; NOVA PONTE   ;410;2.2
18;26; MIRANDA      ;17;1.5
18;27; CAPIM BRANC1 ;2;0.6
18;28; CAPIM BRANC2 ;5;1.5
18;29; CORUMBA IV   ;127;3.1
18;30; CORUMBA I    ;299;5.8
18;31; ITUMBIARA    ;392;13.6
18;32; CACH.DOURADA ;69;1.6
18;33; SAO SIMAO    ;1153;26
18;34; I. SOLTEIRA  ;369;4.1
18;37; BARRA BONITA ;281;55.3
18;38; A.S. LIMA    ;76;7.9
18;39; IBITINGA     ;146;5.5
